[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 20.610 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 189.542 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 1.921 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 25.365 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 17.502 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 3.092 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 9.230 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 10.949 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 6.037 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 31.355 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 2.344 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 20.865 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 2.471 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 26.165 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 25.054 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 2.915 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 18.361 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 4.543 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.242 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 24.760 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 7.899 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:122.155.35.42 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 18.567 ms [client]: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 2.948 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 14.123 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 7.254 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 3.922 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 1.707 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:223.24.63.102 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 181.554 ms [client]: Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T825Y Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.366 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 1.927 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 2.186 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 189.892 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 2.361 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 12.224 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 2.351 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 26.875 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 18.056 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 3.283 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 20.563 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 43.512 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 2.660 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 11.479 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 7.081 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 12.952 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 2.776 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 1.466 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 38.237 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 15.986 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/map-02.jpg HTTP/1.1 [status]: 200 [response-time]: 205.296 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 5.863 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 28.256 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 3.457 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 27.973 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 1.855 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 14.537 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 1.395 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 14.105 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 6.366 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[01: 58: 48] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 11.129 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 3.661 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 7.940 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 6.737 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 7.227 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 1.136 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 0.266 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 41.490 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/image/map-02.jpg HTTP/1.1 [status]: 304 [response-time]: 107.755 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 5.956 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.514 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[11: 31: 25] [ip]: ::ffff:134.236.35.52 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 2.078 ms [client]: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
