[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 5.093 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 182.698 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.409 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 2.905 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 2.526 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.790 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.879 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 0.637 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 2.426 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 2.449 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/map-02.jpg HTTP/1.1 [status]: 200 [response-time]: 14.654 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 1.438 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 10.442 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.296 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 0.381 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.386 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/map-01.jpg HTTP/1.1 [status]: 304 [response-time]: 5.017 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 2.962 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.794 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_user HTTP/1.1 [status]: 200 [response-time]: 0.691 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.185 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_user HTTP/1.1 [status]: 200 [response-time]: 7.948 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 3.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 0.726 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 3.867 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 0.600 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 6.250 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.506 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 1.959 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 1.496 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.053 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.416 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 0.188 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 1.261 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 1.407 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/insert_land_order HTTP/1.1 [status]: 200 [response-time]: 0.461 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/land/insert_land_order HTTP/1.1 [status]: 200 [response-time]: 12.750 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 1.993 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 3.217 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/image/product-4.jpg HTTP/1.1 [status]: 200 [response-time]: 1.126 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/image/product-1.jpg HTTP/1.1 [status]: 200 [response-time]: 2.773 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/image/product-2.jpg HTTP/1.1 [status]: 200 [response-time]: 1.718 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/image/product-3.jpg HTTP/1.1 [status]: 200 [response-time]: 4.256 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/image/product-5.jpg HTTP/1.1 [status]: 200 [response-time]: 1.069 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.832 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 3.587 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.420 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 0.519 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 4.636 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.446 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 304 [response-time]: 2.940 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.593 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 2.058 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 0.477 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 3.806 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 200 [response-time]: 0.349 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/order/get_land_order HTTP/1.1 [status]: 304 [response-time]: 2.731 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.470 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 304 [response-time]: 2.414 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 304 [response-time]: 1.449 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 304 [response-time]: 1.057 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.482 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: OPTIONS [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 0.257 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: GET [url]: /api/v1/land/image/map-01.jpg HTTP/1.1 [status]: 304 [response-time]: 5.820 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/land/get_land_information HTTP/1.1 [status]: 200 [response-time]: 4.034 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:49.49.235.196 - [method]: POST [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 1.133 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134
[23: 26: 13] [ip]: ::ffff:27.131.163.190 - [method]: OPTIONS [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 0.861 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063
[23: 26: 13] [ip]: ::ffff:27.131.163.190 - [method]: GET [url]: /api/v1/land/get_land_list HTTP/1.1 [status]: 200 [response-time]: 2.683 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063
[23: 26: 13] [ip]: ::ffff:27.131.163.190 - [method]: GET [url]: /api/v1/land/image/announce-02.jpg HTTP/1.1 [status]: 200 [response-time]: 1.577 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063
[23: 26: 13] [ip]: ::ffff:27.131.163.190 - [method]: GET [url]: /api/v1/land/image/announce-01.jpg HTTP/1.1 [status]: 200 [response-time]: 0.909 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063
